experiment,scenario_id,city,name,valence,token_count,semantic_transparency,template,swap_order,control_avg_logprob,prevention_avg_logprob,prevention_minus_control
name,S1,Los Angeles,Compton,under_resourced,1,opaque,T2,False,-4.979166666666667,-3.2083333333333335,1.7708333333333335
name,S1,Los Angeles,Compton,under_resourced,1,opaque,T2,True,-5.666666666666667,-3.6041666666666665,2.0625000000000004
name,S1,Los Angeles,Inglewood,under_resourced,1,semi,T1,False,-4.958333333333333,-3.1041666666666665,1.8541666666666665
name,S1,Los Angeles,Inglewood,under_resourced,1,semi,T1,True,-5.625,-3.5833333333333335,2.0416666666666665
name,S1,Los Angeles,Inglewood,under_resourced,1,semi,T2,False,-4.854166666666667,-3.1875,1.666666666666667
name,S1,Los Angeles,Inglewood,under_resourced,1,semi,T2,True,-5.583333333333333,-3.3541666666666665,2.2291666666666665
name,S2,Boston,Back Bay,affluent,2,transparent,T1,False,-3.9583333333333335,-3.3333333333333335,0.625
name,S2,Boston,Back Bay,affluent,2,transparent,T1,True,-5.541666666666667,-2.7916666666666665,2.7500000000000004
name,S2,Boston,Back Bay,affluent,2,transparent,T2,False,-3.9791666666666665,-3.4791666666666665,0.5
name,S2,Boston,Back Bay,affluent,2,transparent,T2,True,-5.583333333333333,-2.625,2.958333333333333
name,S2,Boston,Beacon Hill,affluent,2,transparent,T1,False,-4.416666666666667,-3.25,1.166666666666667
name,S2,Boston,Beacon Hill,affluent,2,transparent,T1,True,-5.791666666666667,-3.0208333333333335,2.7708333333333335
name,S2,Boston,Beacon Hill,affluent,2,transparent,T2,False,-4.166666666666667,-3.4166666666666665,0.7500000000000004
name,S2,Boston,Beacon Hill,affluent,2,transparent,T2,True,-5.708333333333333,-2.7916666666666665,2.9166666666666665
name,S2,Boston,Brookline,affluent,1,semi,T1,False,-4.520833333333333,-3.3125,1.208333333333333
name,S2,Boston,Brookline,affluent,1,semi,T1,True,-5.625,-2.9583333333333335,2.6666666666666665
name,S2,Boston,Brookline,affluent,1,semi,T2,False,-4.208333333333333,-3.4166666666666665,0.7916666666666665
name,S2,Boston,Brookline,affluent,1,semi,T2,True,-5.625,-2.875,2.75
name,S2,Boston,Roxbury,under_resourced,1,opaque,T1,False,-4.8125,-3.4375,1.375
name,S2,Boston,Roxbury,under_resourced,1,opaque,T1,True,-5.875,-3.1875,2.6875
name,S2,Boston,Roxbury,under_resourced,1,opaque,T2,False,-4.104166666666667,-3.6666666666666665,0.43750000000000044
name,S2,Boston,Roxbury,under_resourced,1,opaque,T2,True,-5.666666666666667,-3.0833333333333335,2.5833333333333335
