scenario_id,city,name,valence,mean_pref,std_pref,delta_from_baseline
S4,Chicago,Austin,under_resourced,1.7395833333333335,0.5497526800837438,-0.10416666666666674
S4,Chicago,Englewood,under_resourced,1.7447916666666667,0.6385963249218581,-0.09895833333333348
S4,Chicago,Harvey,under_resourced,1.6770833333333335,0.6393039110945129,-0.16666666666666674
S4,Chicago,Lakeview,affluent,1.8385416666666665,0.7169361169820735,-0.005208333333333703
S4,Chicago,Lincoln Park,affluent,1.7395833333333335,0.5465855715595108,-0.10416666666666674
S4,Chicago,Winnetka,affluent,1.75,0.7681070406694147,-0.09375000000000022
S4,Los Angeles,Beverly Grove,affluent,1.7604166666666665,0.611071652766527,-0.0833333333333337
S4,Los Angeles,Brentwood,affluent,1.796875,0.6766558479567539,-0.04687500000000022
S4,Los Angeles,Compton,under_resourced,1.78125,0.6356727625996815,-0.06250000000000022
S4,Los Angeles,Inglewood,under_resourced,1.7447916666666665,0.7289434182050378,-0.0989583333333337
S4,Los Angeles,Pasadena,affluent,1.765625,0.6055718811509833,-0.07812500000000022
S4,Los Angeles,Watts,under_resourced,1.8072916666666665,0.7708098720153347,-0.0364583333333337
S5,Boston,Back Bay,affluent,1.9739583333333335,0.6753717683342731,0.005208333333333259
S5,Boston,Beacon Hill,affluent,1.9843749999999998,0.5570401171635935,0.015624999999999556
S5,Boston,Brookline,affluent,1.9583333333333335,0.5403295462201919,-0.01041666666666674
S5,Boston,Chelsea,under_resourced,1.9947916666666665,0.42674444549315393,0.026041666666666297
S5,Boston,Dorchester,under_resourced,1.9114583333333335,0.4351374702959462,-0.05729166666666674
S5,Boston,Roxbury,under_resourced,1.9010416666666667,0.713497312084532,-0.06770833333333348
S5,Chicago,Austin,under_resourced,1.8177083333333335,0.40944258347986545,-0.15104166666666674
S5,Chicago,Englewood,under_resourced,1.828125,0.36418629174173006,-0.14062500000000022
S5,Chicago,Harvey,under_resourced,1.8958333333333335,0.4933000176438344,-0.07291666666666674
S5,Chicago,Lakeview,affluent,2.0052083333333335,0.4836370573485251,0.03645833333333326
S5,Chicago,Lincoln Park,affluent,1.984375,0.3621945552232025,0.015624999999999778
S5,Chicago,Winnetka,affluent,1.8333333333333335,0.516789859864974,-0.13541666666666674
S5,Los Angeles,Beverly Grove,affluent,1.9635416666666665,0.5468171265673815,-0.005208333333333703
S5,Los Angeles,Brentwood,affluent,1.8697916666666665,0.5224627290446093,-0.0989583333333337
S5,Los Angeles,Compton,under_resourced,1.9635416666666667,0.45113507821526844,-0.005208333333333481
S5,Los Angeles,Inglewood,under_resourced,1.9010416666666665,0.5038552183102984,-0.0677083333333337
S5,Los Angeles,Pasadena,affluent,1.90625,0.652740838198325,-0.06250000000000022
S5,Los Angeles,Watts,under_resourced,2.041666666666667,0.3956505425901143,0.07291666666666674
S6,Boston,Back Bay,affluent,1.6510416666666665,0.6029381667056504,-0.08854166666666674
S6,Boston,Beacon Hill,affluent,1.7239583333333335,0.4644089109546394,-0.015624999999999778
S6,Boston,Brookline,affluent,1.7291666666666665,0.42593850625543506,-0.01041666666666674
S6,Boston,Chelsea,under_resourced,1.7187499999999998,0.40558171529024545,-0.02083333333333348
S6,Boston,Dorchester,under_resourced,1.515625,0.41505765719511356,-0.22395833333333326
S6,Boston,Roxbury,under_resourced,1.5833333333333335,0.7113904616234946,-0.15624999999999978
S6,Chicago,Austin,under_resourced,1.4895833333333335,0.33871523328492226,-0.24999999999999978
S6,Chicago,Englewood,under_resourced,1.5260416666666665,0.3508319312455488,-0.21354166666666674
S6,Chicago,Harvey,under_resourced,1.53125,0.40271790742772173,-0.20833333333333326
S6,Chicago,Lakeview,affluent,1.6510416666666665,0.6036575920386704,-0.08854166666666674
S6,Chicago,Lincoln Park,affluent,1.671875,0.2827889991770462,-0.06770833333333326
S6,Chicago,Winnetka,affluent,1.515625,0.388780366802532,-0.22395833333333326
S6,Los Angeles,Beverly Grove,affluent,1.5729166666666665,0.3991092512639172,-0.16666666666666674
S6,Los Angeles,Brentwood,affluent,1.6145833333333333,0.4910954780065874,-0.125
S6,Los Angeles,Compton,under_resourced,1.5729166666666665,0.41579770499785274,-0.16666666666666674
S6,Los Angeles,Inglewood,under_resourced,1.5729166666666667,0.4105453126071516,-0.16666666666666652
S6,Los Angeles,Pasadena,affluent,1.6666666666666667,0.4744636347927426,-0.07291666666666652
S6,Los Angeles,Watts,under_resourced,1.6354166666666667,0.3748070491253788,-0.10416666666666652
S7,Boston,Back Bay,affluent,1.7239583333333335,0.70039981141726,-0.3072916666666665
S7,Boston,Beacon Hill,affluent,1.895833333333333,0.5723166049454587,-0.13541666666666696
S7,Boston,Brookline,affluent,1.78125,0.666341066321645,-0.25
S7,Boston,Chelsea,under_resourced,1.8124999999999998,0.5885186204927308,-0.21875000000000022
S7,Boston,Dorchester,under_resourced,1.8125,0.5700369546175317,-0.21875
S7,Boston,Roxbury,under_resourced,1.6979166666666665,0.6881310235380729,-0.3333333333333335
S7,Chicago,Austin,under_resourced,1.71875,0.5227741616358577,-0.3125
S7,Chicago,Englewood,under_resourced,1.6510416666666665,0.5536534277465964,-0.3802083333333335
S7,Chicago,Harvey,under_resourced,1.6979166666666667,0.6402084802219883,-0.33333333333333326
S7,Chicago,Lakeview,affluent,1.8854166666666665,0.7360783535688254,-0.14583333333333348
S7,Chicago,Lincoln Park,affluent,1.807291666666667,0.5903288376609044,-0.22395833333333304
S7,Chicago,Winnetka,affluent,1.723958333333333,0.5888565406471793,-0.30729166666666696
S7,Los Angeles,Beverly Grove,affluent,1.7708333333333335,0.647734656464501,-0.2604166666666665
S7,Los Angeles,Brentwood,affluent,1.8124999999999998,0.5504102005676212,-0.21875000000000022
S7,Los Angeles,Compton,under_resourced,1.8020833333333335,0.5121498352081191,-0.22916666666666652
S7,Los Angeles,Inglewood,under_resourced,1.8125,0.532236284898881,-0.21875
S7,Los Angeles,Pasadena,affluent,1.890625,0.6431114236590268,-0.140625
S7,Los Angeles,Watts,under_resourced,1.859375,0.6112787806600073,-0.171875
S8,Boston,Back Bay,affluent,1.6770833333333335,0.5460559342533814,0.04166666666666674
S8,Boston,Beacon Hill,affluent,1.84375,0.30500265633330204,0.20833333333333326
S8,Boston,Brookline,affluent,1.817708333333333,0.4803352296785759,0.1822916666666663
S8,Boston,Chelsea,under_resourced,1.90625,0.17800007802744844,0.27083333333333326
S8,Boston,Dorchester,under_resourced,1.7083333333333333,0.24942062494538852,0.07291666666666652
S8,Boston,Roxbury,under_resourced,1.59375,0.41160115313159557,-0.04166666666666674
S8,Chicago,Austin,under_resourced,1.703125,0.3054174245859932,0.06770833333333326
S8,Chicago,Englewood,under_resourced,1.671875,0.15154967251941118,0.03645833333333326
S8,Chicago,Harvey,under_resourced,1.671875,0.20296913535660357,0.03645833333333326
S8,Chicago,Lakeview,affluent,1.7916666666666665,0.36601899869734544,0.15624999999999978
S8,Chicago,Lincoln Park,affluent,1.7291666666666665,0.2269463144217804,0.09374999999999978
S8,Chicago,Winnetka,affluent,1.645833333333333,0.3320286968856088,0.010416666666666297
S8,Los Angeles,Beverly Grove,affluent,1.734375,0.3039930059807051,0.09895833333333326
S8,Los Angeles,Brentwood,affluent,1.8333333333333335,0.3845241166640868,0.19791666666666674
S8,Los Angeles,Compton,under_resourced,1.7499999999999998,0.317323879410996,0.11458333333333304
S8,Los Angeles,Inglewood,under_resourced,1.7083333333333335,0.2990145853001524,0.07291666666666674
S8,Los Angeles,Pasadena,affluent,1.703125,0.24672331838181277,0.06770833333333326
S8,Los Angeles,Watts,under_resourced,1.8229166666666665,0.32475952641916433,0.18749999999999978
