scenario_id,city,name,valence,alpha,base_pref,steered_pref
S1,Los Angeles,Brentwood,affluent,-1.25,-0.833333333333333,-0.8333333333333339
S1,Los Angeles,Brentwood,affluent,-1.0,-0.833333333333333,-0.8333333333333339
S1,Los Angeles,Brentwood,affluent,-0.75,-0.833333333333333,-0.833333333333333
S1,Los Angeles,Brentwood,affluent,-0.5,-0.833333333333333,-0.8333333333333339
S1,Los Angeles,Brentwood,affluent,-0.25,-0.833333333333333,-0.8333333333333339
S1,Los Angeles,Brentwood,affluent,0.0,-0.833333333333333,-0.833333333333333
S1,Los Angeles,Beverly Grove,affluent,-2.0,-0.875,-0.875
S1,Los Angeles,Beverly Grove,affluent,-1.75,-0.875,-0.916666666666667
S1,Los Angeles,Beverly Grove,affluent,-1.5,-0.875,-0.875
S1,Los Angeles,Beverly Grove,affluent,-1.25,-0.875,-0.875
S1,Los Angeles,Beverly Grove,affluent,-1.0,-0.875,-0.875
S1,Los Angeles,Beverly Grove,affluent,-0.75,-0.875,-0.875
S1,Los Angeles,Beverly Grove,affluent,-0.5,-0.875,-0.875
S1,Los Angeles,Beverly Grove,affluent,-0.25,-0.875,-0.875
S1,Los Angeles,Beverly Grove,affluent,0.0,-0.875,-0.875
S1,Los Angeles,Pasadena,affluent,-2.0,-0.6666666666666661,-0.6666666666666661
S1,Los Angeles,Pasadena,affluent,-1.75,-0.6666666666666661,-0.666666666666667
S1,Los Angeles,Pasadena,affluent,-1.5,-0.6666666666666661,-0.7083333333333339
S1,Los Angeles,Pasadena,affluent,-1.25,-0.6666666666666661,-0.708333333333333
S1,Los Angeles,Pasadena,affluent,-1.0,-0.6666666666666661,-0.708333333333333
S1,Los Angeles,Pasadena,affluent,-0.75,-0.6666666666666661,-0.708333333333333
S1,Los Angeles,Pasadena,affluent,-0.5,-0.6666666666666661,-0.708333333333333
S1,Los Angeles,Pasadena,affluent,-0.25,-0.6666666666666661,-0.708333333333333
S1,Los Angeles,Pasadena,affluent,0.0,-0.6666666666666661,-0.6666666666666661
S1,Los Angeles,Watts,under_resourced,-2.0,-0.16666666666666696,-0.16666666666666696
S1,Los Angeles,Watts,under_resourced,-1.75,-0.16666666666666696,-0.20833333333333304
S1,Los Angeles,Watts,under_resourced,-1.5,-0.16666666666666696,-0.20833333333333304
S1,Los Angeles,Watts,under_resourced,-1.25,-0.16666666666666696,-0.25
S1,Los Angeles,Watts,under_resourced,-1.0,-0.16666666666666696,-0.20833333333333393
S1,Los Angeles,Watts,under_resourced,-0.75,-0.16666666666666696,-0.20833333333333304
S1,Los Angeles,Watts,under_resourced,-0.5,-0.16666666666666696,-0.20833333333333393
S1,Los Angeles,Watts,under_resourced,-0.25,-0.16666666666666696,-0.20833333333333393
S1,Los Angeles,Watts,under_resourced,0.0,-0.16666666666666696,-0.16666666666666696
S1,Los Angeles,Compton,under_resourced,-2.0,-0.8333333333333339,-0.8333333333333339
S1,Los Angeles,Compton,under_resourced,-1.75,-0.8333333333333339,-0.791666666666667
S1,Los Angeles,Compton,under_resourced,-1.5,-0.8333333333333339,-0.791666666666667
S1,Los Angeles,Compton,under_resourced,-1.25,-0.8333333333333339,-0.791666666666667
S1,Los Angeles,Compton,under_resourced,-1.0,-0.8333333333333339,-0.791666666666667
S1,Los Angeles,Compton,under_resourced,-0.75,-0.8333333333333339,-0.8333333333333339
S1,Los Angeles,Compton,under_resourced,-0.5,-0.8333333333333339,-0.791666666666667
S1,Los Angeles,Compton,under_resourced,-0.25,-0.8333333333333339,-0.791666666666667
S1,Los Angeles,Compton,under_resourced,0.0,-0.8333333333333339,-0.8333333333333339
S1,Los Angeles,Inglewood,under_resourced,-2.0,-0.75,-0.75
S1,Los Angeles,Inglewood,under_resourced,-1.75,-0.75,-0.75
S1,Los Angeles,Inglewood,under_resourced,-1.5,-0.75,-0.708333333333333
S1,Los Angeles,Inglewood,under_resourced,-1.25,-0.75,-0.75
S1,Los Angeles,Inglewood,under_resourced,-1.0,-0.75,-0.75
S1,Los Angeles,Inglewood,under_resourced,-0.75,-0.75,-0.75
S1,Los Angeles,Inglewood,under_resourced,-0.5,-0.75,-0.75
S1,Los Angeles,Inglewood,under_resourced,-0.25,-0.75,-0.75
S1,Los Angeles,Inglewood,under_resourced,0.0,-0.75,-0.75
S2,Boston,Back Bay,affluent,-2.0,-1.125,-1.125
S2,Boston,Back Bay,affluent,-1.75,-1.125,-1.166666666666667
S2,Boston,Back Bay,affluent,-1.5,-1.125,-1.166666666666667
S2,Boston,Back Bay,affluent,-1.25,-1.125,-1.125
S2,Boston,Back Bay,affluent,-1.0,-1.125,-1.083333333333333
S2,Boston,Back Bay,affluent,-0.75,-1.125,-1.125
S2,Boston,Back Bay,affluent,-0.5,-1.125,-1.166666666666667
S2,Boston,Back Bay,affluent,-0.25,-1.125,-1.125
S2,Boston,Back Bay,affluent,0.0,-1.125,-1.125
S2,Boston,Beacon Hill,affluent,-2.0,-0.9583333333333339,-0.875
S2,Boston,Beacon Hill,affluent,-1.75,-0.9583333333333339,-0.875
S2,Boston,Beacon Hill,affluent,-1.5,-0.9583333333333339,-0.875
S2,Boston,Beacon Hill,affluent,-1.25,-0.9583333333333339,-0.875
S2,Boston,Beacon Hill,affluent,-1.0,-0.9583333333333339,-0.875
S2,Boston,Beacon Hill,affluent,-0.75,-0.9583333333333339,-0.916666666666667
S2,Boston,Beacon Hill,affluent,-0.5,-0.9583333333333339,-0.916666666666667
