layer,scenario_id,city,name,valence,swap_order,base_pref,proj_pref
20,S8,Chicago,Winnetka,affluent,True,-1.2499999999999996,-1.0416666666666665
20,S8,Chicago,Englewood,under_resourced,True,-0.583333333333333,-0.29166666666666696
20,S8,Chicago,Austin,under_resourced,True,-0.8333333333333335,-0.5625000000000004
20,S8,Chicago,Harvey,under_resourced,True,-1.7083333333333335,-1.4999999999999996
20,S8,Los Angeles,Brentwood,affluent,True,-1.0833333333333335,-0.8333333333333335
20,S8,Los Angeles,Beverly Grove,affluent,True,-1.0208333333333335,-0.7708333333333335
20,S8,Los Angeles,Pasadena,affluent,True,-0.6041666666666665,-0.33333333333333304
20,S8,Los Angeles,Watts,under_resourced,True,0.583333333333333,0.8333333333333335
20,S8,Los Angeles,Compton,under_resourced,True,-1.5416666666666665,-1.3333333333333335
20,S8,Los Angeles,Inglewood,under_resourced,True,-0.8541666666666665,-0.625
22,S1,baseline,baseline,baseline,False,-1.708333333333333,-1.75
22,S1,Boston,Back Bay,affluent,False,-1.041666666666666,-1.125
22,S1,Boston,Beacon Hill,affluent,False,-0.75,-0.791666666666667
22,S1,Boston,Brookline,affluent,False,-0.583333333333333,-0.666666666666667
22,S1,Boston,Roxbury,under_resourced,False,-0.375,-0.4166666666666661
22,S1,Boston,Dorchester,under_resourced,False,-0.625,-0.7083333333333339
22,S1,Boston,Chelsea,under_resourced,False,-0.958333333333333,-0.958333333333333
22,S1,Chicago,Lincoln Park,affluent,False,-1.125,-1.125
22,S1,Chicago,Lakeview,affluent,False,-1.041666666666667,-1.083333333333333
22,S1,Chicago,Winnetka,affluent,False,-1.0,-1.083333333333333
22,S1,Chicago,Englewood,under_resourced,False,-0.583333333333333,-0.625
22,S1,Chicago,Austin,under_resourced,False,-0.7916666666666661,-0.833333333333333
22,S1,Chicago,Harvey,under_resourced,False,-0.9583333333333339,-1.0
22,S1,Los Angeles,Brentwood,affluent,False,-0.833333333333333,-0.875
22,S1,Los Angeles,Beverly Grove,affluent,False,-0.875,-0.958333333333333
22,S1,Los Angeles,Pasadena,affluent,False,-0.6666666666666661,-0.708333333333333
22,S1,Los Angeles,Watts,under_resourced,False,-0.16666666666666696,-0.25
22,S1,Los Angeles,Compton,under_resourced,False,-0.8333333333333339,-0.875
22,S1,Los Angeles,Inglewood,under_resourced,False,-0.75,-0.791666666666667
22,S1,baseline,baseline,baseline,True,-2.9999999999999996,-3.020833333333333
22,S1,Boston,Back Bay,affluent,True,-1.8333333333333335,-1.8125
22,S1,Boston,Beacon Hill,affluent,True,-0.8750000000000004,-0.833333333333333
22,S1,Boston,Brookline,affluent,True,-0.20833333333333304,0.0
22,S1,Boston,Roxbury,under_resourced,True,0.04166666666666696,0.20833333333333348
22,S1,Boston,Dorchester,under_resourced,True,-0.8125000000000004,-0.7083333333333335
22,S1,Boston,Chelsea,under_resourced,True,-1.5833333333333335,-1.541666666666667
22,S1,Chicago,Lincoln Park,affluent,True,-1.1458333333333335,-1.0208333333333335
22,S1,Chicago,Lakeview,affluent,True,-1.0000000000000004,-0.9166666666666665
22,S1,Chicago,Winnetka,affluent,True,-1.0208333333333335,-0.8958333333333335
22,S1,Chicago,Englewood,under_resourced,True,-0.08333333333333393,0.0625
22,S1,Chicago,Austin,under_resourced,True,-0.8541666666666665,-0.7291666666666665
22,S1,Chicago,Harvey,under_resourced,True,-1.5,-1.4375
22,S1,Los Angeles,Brentwood,affluent,True,-1.1666666666666665,-1.0833333333333335
22,S1,Los Angeles,Beverly Grove,affluent,True,-1.0833333333333335,-1.0625
22,S1,Los Angeles,Pasadena,affluent,True,-0.6666666666666665,-0.5625000000000004
22,S1,Los Angeles,Watts,under_resourced,True,0.43749999999999956,0.6250000000000004
22,S1,Los Angeles,Compton,under_resourced,True,-1.020833333333333,-1.0
22,S1,Los Angeles,Inglewood,under_resourced,True,-0.5208333333333335,-0.4166666666666665
22,S2,baseline,baseline,baseline,False,-1.708333333333333,-1.791666666666667
22,S2,Boston,Back Bay,affluent,False,-1.125,-1.125
22,S2,Boston,Beacon Hill,affluent,False,-0.9583333333333339,-0.875
22,S2,Boston,Brookline,affluent,False,-0.791666666666667,-0.75
22,S2,Boston,Roxbury,under_resourced,False,-0.5,-0.5
22,S2,Boston,Dorchester,under_resourced,False,-0.791666666666667,-0.833333333333333
22,S2,Boston,Chelsea,under_resourced,False,-0.958333333333333,-0.958333333333333
22,S2,Chicago,Lincoln Park,affluent,False,-1.125,-1.145833333333333
22,S2,Chicago,Lakeview,affluent,False,-1.0625,-1.083333333333333
22,S2,Chicago,Winnetka,affluent,False,-1.125,-1.166666666666667
22,S2,Chicago,Englewood,under_resourced,False,-0.5833333333333339,-0.625
22,S2,Chicago,Austin,under_resourced,False,-0.791666666666667,-0.791666666666667
22,S2,Chicago,Harvey,under_resourced,False,-1.0,-1.041666666666667
22,S2,Los Angeles,Brentwood,affluent,False,-1.125,-1.125
22,S2,Los Angeles,Beverly Grove,affluent,False,-1.083333333333334,-1.083333333333334
22,S2,Los Angeles,Pasadena,affluent,False,-0.958333333333333,-0.9583333333333339
