scenario_id,city,name,valence,token_count,semantic_transparency,mean_pref,std_pref,delta_from_baseline
S4,Boston,Dorchester,under_resourced,1,opaque,0.953125,0.9813620483325243,1.9635416666666667
S4,Boston,Roxbury,under_resourced,1,opaque,1.4895833333333333,1.119262633429971,2.5
S4,Chicago,Austin,under_resourced,1,opaque,0.6927083333333333,0.9678535278588846,1.703125
S4,Chicago,Englewood,under_resourced,1,semi,1.052083333333333,0.9590124405403253,2.0625
S4,Chicago,Harvey,under_resourced,1,opaque,0.08854166666666619,0.42843620414073147,1.098958333333333
S4,Chicago,Lakeview,affluent,1,transparent,0.3229166666666664,0.7608208590920923,1.333333333333333
S4,Chicago,Lincoln Park,affluent,2,transparent,0.48958333333333326,0.9796098287923956,1.5
S4,Chicago,Winnetka,affluent,1,opaque,0.48958333333333337,0.8622584202739533,1.5
S4,Los Angeles,Beverly Grove,affluent,2,transparent,0.5468750000000001,0.834439370176168,1.557291666666667
S4,Los Angeles,Brentwood,affluent,1,semi,0.38541666666666674,0.7399989051543453,1.3958333333333335
S4,Los Angeles,Compton,under_resourced,1,opaque,0.10416666666666685,0.4000144673309627,1.1145833333333335
S4,Los Angeles,Inglewood,under_resourced,1,semi,0.7552083333333333,0.8004583105599219,1.765625
S4,Los Angeles,Pasadena,affluent,1,opaque,0.7447916666666667,0.9289541049840226,1.7552083333333335
S4,Los Angeles,Watts,under_resourced,1,opaque,1.5364583333333333,0.934698747022368,2.546875
S5,Boston,Back Bay,affluent,2,transparent,2.364583333333333,1.6961370189454146,0.8229166666666663
S5,Boston,Beacon Hill,affluent,2,transparent,2.770833333333333,1.7324684006524504,1.2291666666666663
S5,Boston,Brookline,affluent,1,semi,3.020833333333333,1.7683397476059182,1.4791666666666663
S5,Boston,Chelsea,under_resourced,1,opaque,2.59375,1.7201067877056677,1.0520833333333333
S5,Boston,Dorchester,under_resourced,1,opaque,2.921875,1.7273982758011373,1.3802083333333333
