label,layer,site,alpha,base_pref,steered_pref,delta_steer
affluent_Back Bay,22,answer_pos,2.0,-1.041666666666666,0.0,1.041666666666666
affluent_Back Bay,22,name_first,3.0,-1.041666666666666,-1.0,0.041666666666666075
affluent_Back Bay,22,answer_pos,3.0,-1.041666666666666,0.20833333333333304,1.2499999999999991
affluent_Lincoln Park,20,name_first,-3.0,-1.125,-1.0,0.125
affluent_Lincoln Park,20,answer_pos,-3.0,-1.125,1.0989583333333333,2.223958333333333
affluent_Lincoln Park,20,name_first,-2.0,-1.125,-1.041666666666667,0.08333333333333304
affluent_Lincoln Park,20,answer_pos,-2.0,-1.125,-0.10416666666666696,1.020833333333333
affluent_Lincoln Park,20,name_first,-1.0,-1.125,-1.041666666666667,0.08333333333333304
affluent_Lincoln Park,20,answer_pos,-1.0,-1.125,-1.125,0.0
affluent_Lincoln Park,20,name_first,-0.5,-1.125,-1.0,0.125
affluent_Lincoln Park,20,answer_pos,-0.5,-1.125,-1.208333333333333,-0.08333333333333304
affluent_Lincoln Park,20,name_first,0.5,-1.125,-1.0,0.125
affluent_Lincoln Park,20,answer_pos,0.5,-1.125,-0.9583333333333339,0.16666666666666607
affluent_Lincoln Park,20,name_first,1.0,-1.125,-1.083333333333334,0.041666666666666075
affluent_Lincoln Park,20,answer_pos,1.0,-1.125,-0.8333333333333339,0.2916666666666661
affluent_Lincoln Park,20,name_first,2.0,-1.125,-1.083333333333334,0.041666666666666075
affluent_Lincoln Park,20,answer_pos,2.0,-1.125,-0.41666666666666696,0.708333333333333
affluent_Lincoln Park,20,name_first,3.0,-1.125,-1.041666666666667,0.08333333333333304
affluent_Lincoln Park,20,answer_pos,3.0,-1.125,-0.16666666666666652,0.9583333333333335
affluent_Lincoln Park,22,name_first,-3.0,-1.125,-1.041666666666667,0.08333333333333304
affluent_Lincoln Park,22,answer_pos,-3.0,-1.125,1.2708333333333333,2.395833333333333
affluent_Lincoln Park,22,name_first,-2.0,-1.125,-1.0,0.125
affluent_Lincoln Park,22,answer_pos,-2.0,-1.125,-0.3333333333333339,0.7916666666666661
affluent_Lincoln Park,22,name_first,-1.0,-1.125,-1.041666666666667,0.08333333333333304
affluent_Lincoln Park,22,answer_pos,-1.0,-1.125,-1.125,0.0
affluent_Lincoln Park,22,name_first,-0.5,-1.125,-1.041666666666667,0.08333333333333304
affluent_Lincoln Park,22,answer_pos,-0.5,-1.125,-1.166666666666667,-0.04166666666666696
affluent_Lincoln Park,22,name_first,0.5,-1.125,-1.083333333333334,0.041666666666666075
affluent_Lincoln Park,22,answer_pos,0.5,-1.125,-0.8333333333333339,0.2916666666666661
affluent_Lincoln Park,22,name_first,1.0,-1.125,-1.0,0.125
affluent_Lincoln Park,22,answer_pos,1.0,-1.125,-0.541666666666667,0.583333333333333
affluent_Lincoln Park,22,name_first,2.0,-1.125,-1.041666666666667,0.08333333333333304
affluent_Lincoln Park,22,answer_pos,2.0,-1.125,0.08333333333333304,1.208333333333333
affluent_Lincoln Park,22,name_first,3.0,-1.125,-1.041666666666667,0.08333333333333304
affluent_Lincoln Park,22,answer_pos,3.0,-1.125,0.22916666666666652,1.3541666666666665
affluent_Pasadena,20,name_first,-3.0,-0.6666666666666661,-0.666666666666667,-8.881784197001252e-16
affluent_Pasadena,20,answer_pos,-3.0,-0.6666666666666661,1.3177083333333333,1.9843749999999993
affluent_Pasadena,20,name_first,-2.0,-0.6666666666666661,-0.666666666666667,-8.881784197001252e-16
affluent_Pasadena,20,answer_pos,-2.0,-0.6666666666666661,0.3125,0.9791666666666661
affluent_Pasadena,20,name_first,-1.0,-0.6666666666666661,-0.708333333333333,-0.04166666666666696
affluent_Pasadena,20,answer_pos,-1.0,-0.6666666666666661,-0.708333333333333,-0.04166666666666696
