scenario_id,city,name,valence,layer,name_first_score,name_last_score,answer_score,answer_delta,behavior_delta
S5,Los Angeles,Brentwood,affluent,40,1.8518218609085948,1.9697323354010414,2.0712233239237086,0.12930373283851893,-0.0989583333333337
S5,Los Angeles,Beverly Grove,affluent,5,6.472117604371746,6.472117604371746,-5.249756821542981,0.029733315393326798,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,10,-12.550321548779976,-12.550321548779976,2.7366589465490843,0.3554742122889185,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,15,-6.458812015146598,-6.458812015146598,11.969514821862752,0.506933754739201,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,18,-18.197566071717116,-18.197566071717116,-2.585762584859896,0.6895548803103919,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,20,-13.592723008605908,-13.592723008605908,-3.1632072467966217,0.48130626728219683,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,22,-9.168231888782957,-9.168231888782957,2.385367265606847,0.5518352530937709,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,25,-12.297371923764512,-12.297371923764512,5.529596871996313,0.5230834176069585,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,30,-8.334247594855363,-8.334247594855363,0.5979416710713537,-0.4399742219367486,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,35,-1.6993454863413904,-1.6993454863413904,2.453643075140358,-0.24035948940409702,-0.005208333333333703
S5,Los Angeles,Beverly Grove,affluent,40,1.9311242038626122,1.9311242038626122,2.0053832958538633,0.06346370476867369,-0.005208333333333703
S5,Los Angeles,Pasadena,affluent,5,0.5568962391918536,-0.17252640092740476,-5.219546130729233,0.05994400620707463,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,10,-5.832172782719694,-7.183929078370961,2.741156173967275,0.3599714397071092,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,15,3.3682748931844158,-0.8336353574419888,11.944535467232518,0.4819544001089664,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,18,-8.974300549030044,-13.751448716608017,-2.5087155297353902,0.7666019354348976,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,20,-7.473227991609106,-8.154378462936737,-2.9664131363196518,0.6781003777591668,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,22,-2.144175116678595,-3.7252065418400386,2.3275185046707523,0.493986492157676,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,25,-7.44246277043899,-4.7632095143848,5.598328862066646,0.5918154076772915,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,30,-4.03861687887433,-2.195940202036183,0.6740346493363653,-0.363881243671737,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,35,-0.36199211309623286,0.537414573282044,2.3445281204155655,-0.3494744441288895,-0.06250000000000022
S5,Los Angeles,Pasadena,affluent,40,2.550016408800685,2.620325786739996,1.9935899475548842,0.051670356469694534,-0.06250000000000022
S5,Los Angeles,Watts,under_resourced,5,0.3886460816963234,2.7519233688586295,-5.18606303994282,0.09342709699348806,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,10,-5.0804311982034465,-2.6355037348124872,2.6931308206749334,0.3119460864147676,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,15,1.400201894127166,-2.6141991232165243,11.896436178243018,0.43385511111946684,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,18,-8.877265624059644,-12.954877337178559,-2.8015341083588448,0.4737833568114431,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,20,-7.352072321967564,-7.173147158515088,-2.976263784722083,0.6682497293567353,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,22,-1.8800288895942814,-2.8314318797580778,2.4036030625422473,0.570071050029171,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,25,-6.878906120978638,-6.086586647405362,5.571402344280054,0.5648888898906996,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,30,-3.417509975761536,-1.548000874903688,0.5042995751263922,-0.53361631788171,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,35,0.10146539687608355,0.1355114180479616,2.028689505650657,-0.6653130588937981,0.07291666666666674
S5,Los Angeles,Watts,under_resourced,40,3.1888273799518823,3.2061148478014223,1.8778008180037784,-0.06411877308141123,0.07291666666666674
S5,Los Angeles,Compton,under_resourced,5,-1.6630914148751432,-7.709441093734782,-5.232374680816419,0.04711545611988832,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,10,-4.661621243352249,-8.325261649211145,2.6282721911137115,0.24708745685354572,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,15,2.183832856143654,-3.9544188028049034,11.900588522255303,0.43800745513175166,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,18,-9.980545354168585,-16.78588321930785,-2.6664793796362045,0.6088380855340834,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,20,-7.098767086419335,-8.89369449601802,-3.0056692169222674,0.6388442971565511,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,22,-3.36185197096972,-5.9693899901731715,2.40385850292054,0.5703264904074636,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,25,-9.644301820336405,-10.66944119869927,5.773706363843727,0.7671929094543728,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,30,-4.345899657530024,-3.3133381618610183,0.6212611140363298,-0.4166547789717725,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,35,-2.027395661748374,-1.45501491991255,2.187893976218106,-0.5061085883263488,-0.005208333333333481
S5,Los Angeles,Compton,under_resourced,40,0.7832743454034563,1.2671172445790357,1.9395748622598439,-0.0023447288253457543,-0.005208333333333481
S5,Los Angeles,Inglewood,under_resourced,5,1.618084435236629,1.618084435236629,-5.291381195219195,-0.011891058282887279,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,10,-2.303831512219869,-2.303831512219869,2.82136360683877,0.44017887257860444,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,15,-4.800143986592132,-4.800143986592132,11.957648129317143,0.4950670621935913,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,18,-14.504520467505456,-14.504520467505456,-2.7568200248230252,0.5184974403472626,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,20,-9.06205542680802,-9.06205542680802,-3.077709823130436,0.5668036909483827,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,22,-6.828057744350695,-6.828057744350695,2.218035271350794,0.3845032588377175,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,25,-8.306944988828485,-8.306944988828485,5.650066273874531,0.6435528194851763,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,30,-6.77036492651683,-6.77036492651683,0.43349129111350027,-0.604424601894602,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,35,-1.58196925042839,-1.58196925042839,2.267586476542806,-0.42641608800164876,-0.0677083333333337
S5,Los Angeles,Inglewood,under_resourced,40,3.331558351517046,3.331558351517046,2.0938988021747047,0.15197921108951506,-0.0677083333333337
S7,Boston,Back Bay,affluent,5,-12.675729979750601,-12.675729979750601,-5.247111457617827,0.01853617991831591,-0.3072916666666665
S7,Boston,Back Bay,affluent,10,-8.853561273417089,-8.853561273417089,2.6293407214335622,0.2791741536309238,-0.3072916666666665
S7,Boston,Back Bay,affluent,15,0.19685527695524963,0.19685527695524963,12.177389413853957,0.6485084647876498,-0.3072916666666665
